# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,product,feed_category,multiplier
BLZ,dairy-buffalo,ruminant_roughage,1.0
BLZ,eggs,monogastric_grain,1.0
BLZ,eggs,monogastric_low_quality,1.0
BLZ,eggs,monogastric_protein,1.0
BLZ,meat-cattle,ruminant_forage,1.3193996000202353
BLZ,meat-cattle,ruminant_grain,1.0
BLZ,meat-cattle,ruminant_protein,1.0
BLZ,meat-cattle,ruminant_roughage,1.0
BLZ,meat-chicken,monogastric_grain,1.0
BLZ,meat-chicken,monogastric_low_quality,1.0
BLZ,meat-chicken,monogastric_protein,1.0
BLZ,meat-pig,monogastric_grain,1.0
BLZ,meat-pig,monogastric_low_quality,1.0
BLZ,meat-pig,monogastric_protein,1.0
BLZ,meat-sheep,ruminant_forage,1.3193996000202353
BLZ,meat-sheep,ruminant_grain,1.0
BLZ,meat-sheep,ruminant_protein,1.0
BLZ,meat-sheep,ruminant_roughage,1.0
BOL,dairy,ruminant_forage,1.0
BOL,dairy,ruminant_grain,1.0
BOL,dairy,ruminant_protein,1.0
BOL,dairy,ruminant_roughage,1.0
BOL,dairy-buffalo,ruminant_forage,1.0
BOL,dairy-buffalo,ruminant_grain,1.0
BOL,dairy-buffalo,ruminant_protein,1.0
BOL,dairy-buffalo,ruminant_roughage,1.0
BOL,eggs,monogastric_grain,1.0
BOL,eggs,monogastric_low_quality,1.0
BOL,eggs,monogastric_protein,1.0
BOL,meat-cattle,ruminant_forage,1.0
BOL,meat-cattle,ruminant_grain,1.0
BOL,meat-cattle,ruminant_protein,1.0
BOL,meat-cattle,ruminant_roughage,1.0
BOL,meat-chicken,monogastric_grain,1.0
BOL,meat-chicken,monogastric_low_quality,1.0
BOL,meat-chicken,monogastric_protein,1.0
BOL,meat-pig,monogastric_grain,1.0
BOL,meat-pig,monogastric_low_quality,1.0
BOL,meat-pig,monogastric_protein,1.0
BOL,meat-sheep,ruminant_forage,1.0
BOL,meat-sheep,ruminant_grain,1.0
BOL,meat-sheep,ruminant_protein,1.0
BOL,meat-sheep,ruminant_roughage,1.0
BRA,dairy,ruminant_forage,1.0
BRA,dairy,ruminant_grain,1.0
BRA,dairy,ruminant_protein,1.0
BRA,dairy,ruminant_roughage,1.0
BRA,dairy-buffalo,ruminant_forage,1.0
BRA,dairy-buffalo,ruminant_grain,1.0
BRA,dairy-buffalo,ruminant_protein,1.0
BRA,dairy-buffalo,ruminant_roughage,1.0
BRA,eggs,monogastric_grain,1.0
BRA,eggs,monogastric_low_quality,1.0
BRA,eggs,monogastric_protein,1.0
BRA,meat-cattle,ruminant_forage,1.0
BRA,meat-cattle,ruminant_grain,1.0
BRA,meat-cattle,ruminant_protein,1.0
BRA,meat-cattle,ruminant_roughage,1.0
BRA,meat-chicken,monogastric_grain,1.0
BRA,meat-chicken,monogastric_low_quality,1.0
BRA,meat-chicken,monogastric_protein,1.0
BRA,meat-pig,monogastric_grain,1.0
BRA,meat-pig,monogastric_low_quality,1.0
BRA,meat-pig,monogastric_protein,1.0
BRA,meat-sheep,ruminant_forage,1.0
BRA,meat-sheep,ruminant_grain,1.0
BRA,meat-sheep,ruminant_protein,1.0
BRA,meat-sheep,ruminant_roughage,1.0
BRB,dairy,ruminant_forage,1.0
BRB,dairy,ruminant_grain,1.0
BRB,dairy,ruminant_protein,1.0
BRB,dairy,ruminant_roughage,1.0
BRB,dairy-buffalo,ruminant_forage,1.0
BRB,dairy-buffalo,ruminant_grain,1.0
BRB,dairy-buffalo,ruminant_protein,1.0
BRB,dairy-buffalo,ruminant_roughage,1.0
BRB,eggs,monogastric_grain,1.0
BRB,eggs,monogastric_low_quality,1.0
BRB,eggs,monogastric_protein,1.0
BRB,meat-cattle,ruminant_forage,1.0
BRB,meat-cattle,ruminant_grain,1.0
BRB,meat-cattle,ruminant_protein,1.0
BRB,meat-cattle,ruminant_roughage,1.0
BRB,meat-chicken,monogastric_grain,1.0
